Date,Close
10-02-2015,239.52
10-03-2015,277.58
10-04-2015,240.53
10-05-2015,247.61
10-06-2015,247.28
10-07-2015,244.79
10-08-2015,244.56
10-09-2015,245.93
10-10-2015,248.26
10-11-2015,248.02
10-12-2015,251.19
10-13-2015,255.06
10-14-2015,256.76
10-15-2015,267.27
10-16-2015,275.41
10-17-2015,272.44
10-18-2015,265.95
10-19-2015,272.12
10-20-2015,272.17
10-21-2015,278.74
10-22-2015,279.77
10-23-2015,283.05
10-24-2015,295.56
10-25-2015,287.62
10-26-2015,298.43
10-27-2015,307.46
10-28-2015,318.48
10-29-2015,334.92
10-30-2015,333.25
10-31-2015,324.34
11-01-2015,365.75
11-02-2015,416.78
11-03-2015,492.8
11-04-2015,447.24
11-05-2015,396.35
11-06-2015,391.75
11-07-2015,389.78
11-08-2015,385.11
11-09-2015,381.38
11-10-2015,341.76
11-11-2015,346.13
11-12-2015,341.79
11-13-2015,369.8
11-14-2015,334.78
11-15-2015,332.01
11-16-2015,342.91
11-17-2015,337.39
11-18-2015,335.64
11-19-2015,327.06
11-20-2015,328.42
11-21-2015,326.94
11-22-2015,325
11-23-2015,323.26
11-24-2015,330.04
11-25-2015,368.92
11-26-2015,363.9
11-27-2015,360.08
11-28-2015,372.84
11-29-2015,382.56
11-30-2015,379.02
12-01-2015,363.43
12-02-2015,371.37
12-03-2015,363.95
12-04-2015,390.28
12-05-2015,402.19
12-06-2015,398.74
12-07-2015,411.07
12-08-2015,424.58
12-09-2015,420.36
12-10-2015,453.37
12-11-2015,467.71
12-12-2015,440.97
12-13-2015,449.45
12-14-2015,464.23
12-15-2015,465.16
12-16-2015,458.44
12-17-2015,466.12
12-18-2015,465.99
12-19-2015,462.76
12-20-2015,445.54
12-21-2015,443.22
12-22-2015,444.78
12-23-2015,460.62
12-24-2015,457.44
12-25-2015,456.48
12-26-2015,425.51
12-27-2015,429.85
12-28-2015,433.56
12-29-2015,435.04
12-30-2015,433.12
12-31-2015,437.95
01-01-2016,437.43
